supplier_id,env_score,social_score,governance_score,last_update,data_source
S0441,57.07,61.61,61.53,2025-08-21,Supplier Questionnaire
S0442,62.23,62.91,76.88,2024-09-14,Supplier Questionnaire
S0443,,71.61,62.0,2025-07-26,Supplier Questionnaire
S0444,83.01,49.74,90.72,2025-11-30,Third-party Rating
S0445,95.72,81.67,75.16,2025-02-21,Supplier Questionnaire
S0446,62.24,87.8,80.99,2025-01-17,Third-party Rating
S0447,75.95,51.31,69.0,2024-04-29,Third-party Rating
S0448,66.95,64.79,,2024-10-09,Supplier Questionnaire
S0449,67.72,58.27,39.63,2024-10-06,Internal Assessment
S0450,95.53,68.63,77.7,2025-01-04,Supplier Questionnaire
S0451,91.96,93.77,77.41,2025-12-01,Third-party Rating
S0452,85.24,,83.37,2024-02-03,Internal Assessment
S0453,70.45,68.38,,2024-03-30,Supplier Questionnaire
S0454,66.19,,65.08,2024-09-18,Supplier Questionnaire
S0455,,,87.38,2024-10-26,Supplier Questionnaire
S0456,83.86,36.31,64.09,2024-01-18,Third-party Rating
S0457,,52.82,67.77,2024-08-18,Supplier Questionnaire
S0458,76.65,51.27,61.9,2024-03-11,Supplier Questionnaire
S0459,73.96,58.58,72.6,2024-12-12,Supplier Questionnaire
S0460,91.35,57.23,61.19,2025-07-25,Internal Assessment
S0461,70.45,68.61,62.48,2024-10-26,Third-party Rating
S0462,59.28,63.83,79.7,2025-06-17,Internal Assessment
S0463,87.12,,70.91,2025-09-24,Third-party Rating
S0464,79.75,72.92,,2024-04-12,Internal Assessment
S0465,81.8,34.4,64.52,2025-12-28,Third-party Rating
S0466,51.07,76.78,71.54,2024-10-16,Internal Assessment
S0467,63.18,50.91,66.22,2024-11-01,Supplier Questionnaire
S0468,95.68,84.71,60.41,2025-02-24,Supplier Questionnaire
S0469,59.97,40.13,68.86,2024-06-02,Supplier Questionnaire
S0470,87.94,82.46,67.38,2025-02-15,Supplier Questionnaire
S0471,71.79,,76.39,2025-06-20,Supplier Questionnaire
S0472,75.13,64.85,90.97,2024-04-07,Third-party Rating
S0473,60.69,43.19,,2024-07-29,Supplier Questionnaire
S0474,97.12,67.98,66.95,2024-07-27,Supplier Questionnaire
S0475,78.41,,73.98,2024-03-07,Internal Assessment
S0476,,77.23,87.09,2024-10-24,Third-party Rating
S0477,82.58,69.62,76.06,2025-10-12,Internal Assessment
S0478,79.74,80.04,75.53,2024-11-09,Supplier Questionnaire
S0479,78.21,73.33,,2024-07-15,Internal Assessment
S0480,71.87,57.45,65.26,2024-08-11,Supplier Questionnaire
S0481,97.25,87.98,96.28,2024-02-29,Third-party Rating
S0482,62.77,53.13,78.85,2024-07-25,Internal Assessment
S0483,80.4,61.25,74.62,2025-11-11,Supplier Questionnaire
S0484,76.04,64.71,79.99,2025-02-16,Internal Assessment
S0485,81.59,78.76,61.24,2025-10-04,Internal Assessment
S0486,,67.68,80.06,2024-06-10,Third-party Rating
S0487,89.5,65.01,77.04,2025-07-08,Supplier Questionnaire
S0488,67.09,61.32,62.77,2024-06-02,Supplier Questionnaire
S0489,75.34,,76.39,2025-07-24,Internal Assessment
S0490,72.96,74.12,79.49,2025-12-05,Third-party Rating
S0491,56.14,58.59,,2025-02-23,Internal Assessment
S0492,80.95,68.27,59.85,2024-08-15,Third-party Rating
S0493,90.98,56.63,,2024-10-22,Supplier Questionnaire
S0494,82.64,57.0,62.26,2025-07-25,Internal Assessment
S0495,73.64,80.93,82.79,2025-09-09,Supplier Questionnaire
S0496,74.67,49.9,62.59,2024-02-15,Third-party Rating
S0497,64.1,71.58,63.7,2025-08-13,Supplier Questionnaire
S0498,61.86,66.47,76.46,2025-09-18,Third-party Rating
S0499,62.08,62.61,59.0,2025-11-20,Third-party Rating
S0500,60.74,,81.07,2024-12-31,Internal Assessment
S0501,58.6,79.55,56.76,2025-08-08,Supplier Questionnaire
S0502,67.72,69.45,79.07,2025-04-28,Supplier Questionnaire
S0503,79.31,75.09,73.72,2025-09-18,Internal Assessment
S0504,78.39,75.82,71.5,2025-06-25,Third-party Rating
S0505,62.57,81.84,,2024-02-09,Supplier Questionnaire
S0506,65.73,60.56,78.26,2025-09-11,Third-party Rating
S0507,54.8,57.28,68.61,2024-05-18,Supplier Questionnaire
S0508,81.29,66.09,86.26,2025-03-17,Supplier Questionnaire
S0509,79.75,63.18,68.8,2024-03-17,Supplier Questionnaire
S0510,80.39,73.68,83.44,2025-05-23,Third-party Rating
S0511,,63.22,62.85,2024-10-24,Supplier Questionnaire
S0512,78.33,71.87,77.69,2025-04-05,Internal Assessment
S0513,65.84,,74.74,2025-07-20,Third-party Rating
S0514,69.08,49.73,66.27,2024-01-08,Third-party Rating
S0515,79.24,71.47,65.08,2024-09-08,Third-party Rating
S0516,49.84,26.33,72.48,2025-10-04,Supplier Questionnaire
S0517,98.0,93.69,69.37,2025-04-29,Supplier Questionnaire
S0518,73.94,52.36,91.71,2024-11-04,Third-party Rating
S0519,59.78,64.99,65.47,2024-11-01,Third-party Rating
S0520,79.7,45.14,67.43,2025-07-03,Third-party Rating
S0521,45.82,59.74,,2024-09-08,Supplier Questionnaire
S0522,67.78,48.09,66.32,2024-01-01,Supplier Questionnaire
S0523,59.85,71.26,66.9,2024-11-10,Third-party Rating
S0524,68.68,65.41,54.62,2024-09-11,Internal Assessment
S0525,83.29,43.31,56.73,2024-01-26,Internal Assessment
S0526,,63.72,,2025-08-08,Third-party Rating
S0527,59.08,38.37,63.93,2025-09-20,Supplier Questionnaire
S0528,92.42,65.45,86.54,2025-12-22,Supplier Questionnaire
S0529,64.22,58.87,50.68,2025-01-28,Supplier Questionnaire
S0530,83.23,74.46,72.94,2024-09-09,Supplier Questionnaire
S0531,67.65,52.36,,2024-01-01,Supplier Questionnaire
S0532,68.02,56.23,,2024-06-19,Supplier Questionnaire
S0533,,72.66,53.52,2025-10-01,Internal Assessment
S0534,62.72,70.81,80.24,2024-08-29,Third-party Rating
S0535,67.5,61.08,62.62,2024-04-29,Internal Assessment
S0536,51.28,54.38,66.6,2025-04-08,Internal Assessment
S0537,64.81,74.64,69.28,2024-05-03,Internal Assessment
S0538,70.88,89.84,76.62,2025-11-13,Supplier Questionnaire
S0539,71.36,,61.06,2024-10-02,Supplier Questionnaire
S0540,58.84,76.19,51.9,2024-04-26,Supplier Questionnaire
S0541,54.07,61.16,56.31,2025-08-04,Supplier Questionnaire
S0542,50.31,75.48,84.7,2024-04-23,Third-party Rating
S0543,54.44,60.17,52.62,2024-01-30,Internal Assessment
S0544,52.07,60.39,66.71,2024-02-01,Third-party Rating
S0545,,56.79,72.4,2025-12-17,Internal Assessment
S0546,,77.78,63.91,2024-09-07,Supplier Questionnaire
S0547,45.24,58.85,,2024-02-20,Supplier Questionnaire
S0548,73.81,50.01,60.03,2025-04-09,Internal Assessment
S0549,65.3,66.23,,2024-10-05,Supplier Questionnaire
S0550,79.8,68.66,73.97,2024-06-22,Supplier Questionnaire
S0551,84.79,54.54,92.48,2024-09-21,Supplier Questionnaire
S0552,75.28,59.15,68.8,2024-12-08,Third-party Rating
S0553,57.75,64.92,71.66,2024-01-19,Supplier Questionnaire
S0554,55.93,49.68,78.32,2024-02-10,Supplier Questionnaire
S0555,46.04,,56.48,2024-04-17,Supplier Questionnaire
S0556,67.05,58.57,67.62,2025-10-26,Third-party Rating
S0557,68.93,62.41,66.65,2025-11-07,Internal Assessment
S0558,61.72,72.95,64.74,2025-02-03,Supplier Questionnaire
S0559,,,60.49,2024-05-01,Third-party Rating
S0560,70.58,62.05,,2024-09-28,Internal Assessment
S0561,55.61,73.3,,2024-02-06,Supplier Questionnaire
S0562,77.43,68.12,60.97,2024-06-14,Third-party Rating
S0563,69.02,64.11,48.41,2025-12-02,Supplier Questionnaire
S0564,67.1,65.09,52.9,2024-09-13,Internal Assessment
S0565,70.43,75.2,76.24,2024-09-06,Internal Assessment
S0566,77.83,81.81,73.03,2024-09-22,Supplier Questionnaire
S0567,76.93,67.53,67.86,2024-10-15,Internal Assessment
S0568,72.8,63.51,66.88,2025-05-06,Supplier Questionnaire
S0569,82.15,58.14,78.93,2024-05-16,Supplier Questionnaire
S0570,48.93,62.57,78.59,2024-05-28,Supplier Questionnaire
S0571,83.09,60.86,56.51,2025-12-07,Third-party Rating
S0572,,60.39,52.7,2025-10-17,Third-party Rating
S0573,91.56,,66.88,2024-03-31,Supplier Questionnaire
S0574,58.88,80.03,67.31,2025-09-04,Supplier Questionnaire
S0575,54.21,64.07,,2025-06-17,Supplier Questionnaire
S0576,84.28,42.67,79.78,2025-04-18,Third-party Rating
S0577,63.51,55.73,,2024-10-14,Third-party Rating
S0578,75.3,72.98,63.21,2024-09-05,Supplier Questionnaire
S0579,77.38,69.14,62.48,2024-04-30,Supplier Questionnaire
S0580,,58.77,72.54,2025-04-08,Internal Assessment
S0581,63.19,57.66,71.16,2025-02-12,Internal Assessment
S0582,72.6,75.93,83.92,2024-11-13,Supplier Questionnaire
S0583,72.49,77.23,67.53,2024-08-09,Third-party Rating
S0584,78.63,98.0,87.27,2025-03-14,Supplier Questionnaire
S0585,65.03,51.77,73.13,2025-06-15,Supplier Questionnaire
S0586,69.87,65.92,71.12,2025-03-07,Third-party Rating
S0587,72.68,52.4,,2024-12-23,Supplier Questionnaire
S0588,89.41,42.3,65.21,2025-01-14,Third-party Rating
S0589,,52.42,81.31,2024-11-15,Internal Assessment
S0590,67.25,76.32,,2024-09-10,Supplier Questionnaire
S0591,,68.34,54.3,2025-11-02,Third-party Rating
S0592,65.8,65.35,,2025-06-24,Internal Assessment
S0593,63.37,63.63,65.16,2025-03-24,Supplier Questionnaire
S0594,67.73,57.8,51.64,2024-11-09,Supplier Questionnaire
S0595,58.12,66.6,66.2,2025-07-15,Supplier Questionnaire
S0596,48.94,60.42,57.93,2024-03-28,Supplier Questionnaire
S0597,62.21,52.05,59.67,2024-11-03,Internal Assessment
S0598,81.96,70.27,,2025-02-25,Internal Assessment
S0599,56.48,80.4,,2024-09-24,Supplier Questionnaire
S0600,65.82,67.61,67.06,2025-12-06,Supplier Questionnaire
S0601,90.99,80.63,85.76,2024-11-28,Third-party Rating
S0602,,84.45,68.98,2024-07-24,Supplier Questionnaire
S0603,60.17,50.34,51.8,2025-10-28,Internal Assessment
S0604,62.11,76.12,89.84,2024-07-01,Supplier Questionnaire
S0605,76.32,58.02,76.31,2024-03-13,Third-party Rating
S0606,96.0,82.44,50.3,2024-02-28,Third-party Rating
S0607,71.6,67.34,54.82,2025-02-28,Internal Assessment
S0608,65.06,52.99,78.84,2025-10-04,Supplier Questionnaire
S0609,74.5,64.35,43.44,2024-08-14,Internal Assessment
S0610,78.19,80.16,86.15,2024-08-07,Third-party Rating
S0611,80.72,58.54,52.16,2025-03-26,Internal Assessment
S0612,73.55,69.88,73.79,2024-12-08,Third-party Rating
S0613,65.12,61.33,77.7,2024-11-06,Internal Assessment
S0614,62.02,60.64,70.45,2024-01-26,Supplier Questionnaire
S0615,79.11,59.31,76.74,2024-10-10,Supplier Questionnaire
S0616,72.8,65.84,,2025-11-13,Third-party Rating
S0617,,88.05,74.98,2024-08-30,Supplier Questionnaire
S0618,77.22,83.21,82.93,2025-11-09,Internal Assessment
S0619,69.95,54.92,59.81,2024-10-09,Third-party Rating
S0620,61.72,45.24,52.2,2025-12-18,Supplier Questionnaire
S0621,83.51,78.63,66.44,2025-08-08,Supplier Questionnaire
S0622,66.43,72.66,63.32,2024-05-11,Supplier Questionnaire
S0623,76.46,53.67,76.03,2024-11-20,Third-party Rating
S0624,48.7,49.91,67.75,2024-02-12,Internal Assessment
S0625,72.57,,65.91,2024-10-18,Supplier Questionnaire
S0626,53.6,61.44,57.28,2025-10-07,Supplier Questionnaire
S0627,75.08,54.85,65.07,2025-05-26,Supplier Questionnaire
S0628,93.99,73.63,53.41,2024-01-06,Third-party Rating
S0629,70.7,71.26,,2025-12-15,Internal Assessment
S0630,71.12,71.8,53.58,2025-10-26,Third-party Rating
S0631,78.19,87.66,74.43,2024-11-29,Third-party Rating
S0632,66.12,30.71,57.37,2025-12-06,Third-party Rating
S0633,61.85,,63.46,2024-02-20,Third-party Rating
S0634,80.28,38.62,79.88,2025-10-02,Third-party Rating
S0635,80.27,65.27,70.15,2025-12-10,Supplier Questionnaire
S0636,,49.66,72.01,2024-12-08,Third-party Rating
S0637,55.67,65.53,58.32,2024-08-05,Third-party Rating
S0638,66.54,,83.57,2024-06-15,Internal Assessment
S0639,64.16,49.41,62.42,2025-12-22,Internal Assessment
S0640,67.92,43.05,65.45,2025-10-12,Supplier Questionnaire
S0641,88.13,63.89,69.51,2024-07-24,Internal Assessment
S0642,60.91,60.83,59.03,2025-03-18,Supplier Questionnaire
S0643,64.83,,73.56,2024-11-11,Third-party Rating
S0644,71.64,44.5,,2024-10-11,Internal Assessment
S0645,72.97,41.21,31.93,2024-07-22,Internal Assessment
S0646,74.71,45.24,75.44,2024-07-22,Supplier Questionnaire
S0647,74.11,59.48,66.45,2024-07-07,Internal Assessment
S0648,40.45,58.03,67.68,2024-08-09,Internal Assessment
S0649,82.98,,70.41,2024-01-11,Supplier Questionnaire
S0650,72.58,60.93,49.22,2025-05-20,Third-party Rating
S0651,67.24,,39.47,2024-05-03,Supplier Questionnaire
S0652,83.45,98.0,77.64,2024-06-14,Supplier Questionnaire
S0653,90.69,73.04,,2025-03-22,Supplier Questionnaire
S0654,76.09,87.44,73.51,2024-05-04,Third-party Rating
S0655,59.37,56.85,88.92,2024-12-19,Third-party Rating
S0656,66.53,70.27,85.3,2024-09-06,Supplier Questionnaire
S0657,69.1,79.38,78.23,2024-07-09,Supplier Questionnaire
S0658,51.57,28.15,73.32,2025-12-06,Supplier Questionnaire
S0659,76.75,64.53,64.89,2025-09-25,Supplier Questionnaire
S0660,61.08,87.58,78.6,2024-09-28,Supplier Questionnaire
S0661,63.08,49.35,69.98,2024-06-27,Supplier Questionnaire
S0662,63.13,53.0,55.78,2025-10-15,Internal Assessment
S0663,65.4,67.92,69.62,2025-05-17,Supplier Questionnaire
S0664,49.04,76.27,63.9,2024-02-07,Supplier Questionnaire
S0665,67.68,58.72,53.77,2024-12-24,Third-party Rating
S0666,61.2,51.92,59.72,2024-08-13,Supplier Questionnaire
S0667,62.32,63.37,82.84,2025-12-18,Supplier Questionnaire
S0668,59.88,80.35,68.01,2025-06-06,Internal Assessment
S0669,61.21,67.44,65.88,2025-03-11,Supplier Questionnaire
S0670,74.86,61.11,72.15,2025-09-06,Supplier Questionnaire
S0671,57.16,65.5,85.86,2025-02-01,Supplier Questionnaire
S0672,60.73,67.41,72.88,2024-06-23,Supplier Questionnaire
S0673,61.76,45.61,60.23,2024-09-24,Supplier Questionnaire
S0674,70.03,62.52,59.39,2025-11-27,Third-party Rating
S0675,69.7,80.78,73.23,2024-07-13,Third-party Rating
S0676,64.35,83.4,72.29,2025-09-18,Supplier Questionnaire
S0677,64.91,77.07,59.85,2024-02-14,Supplier Questionnaire
S0678,86.28,,,2025-05-21,Supplier Questionnaire
S0679,59.37,77.44,58.64,2024-11-21,Supplier Questionnaire
S0680,72.01,70.18,73.87,2025-12-21,Supplier Questionnaire
S0681,78.81,54.16,79.79,2024-04-24,Supplier Questionnaire
S0682,64.99,64.07,76.01,2024-07-19,Third-party Rating
S0683,51.37,,81.47,2025-02-19,Supplier Questionnaire
S0684,76.92,74.89,,2024-02-07,Third-party Rating
S0685,69.53,47.01,64.54,2025-01-03,Internal Assessment
S0686,66.39,54.16,,2024-12-04,Third-party Rating
S0687,67.04,67.59,,2025-08-12,Third-party Rating
S0688,68.76,63.08,,2025-04-15,Third-party Rating
S0689,77.77,85.35,70.63,2025-01-20,Third-party Rating
S0690,95.98,72.16,73.08,2024-02-29,Supplier Questionnaire
S0691,,55.45,51.17,2025-05-19,Supplier Questionnaire
S0692,70.35,59.0,73.95,2024-03-17,Supplier Questionnaire
S0693,46.28,92.5,69.66,2025-09-25,Supplier Questionnaire
S0694,64.24,73.11,82.97,2024-02-24,Third-party Rating
S0695,60.93,56.15,49.82,2025-11-19,Supplier Questionnaire
S0696,59.67,85.47,74.33,2025-06-02,Supplier Questionnaire
S0697,78.24,64.61,83.56,2024-09-05,Supplier Questionnaire
S0698,58.42,71.85,71.52,2024-01-18,Third-party Rating
S0699,,76.31,68.39,2025-04-17,Third-party Rating
S0700,79.72,69.23,,2025-12-18,Supplier Questionnaire
S0701,73.75,81.16,76.96,2025-08-26,Supplier Questionnaire
S0702,57.15,54.52,74.64,2024-02-10,Supplier Questionnaire
S0703,47.42,26.02,56.8,2024-08-15,Supplier Questionnaire
S0704,73.09,56.04,64.39,2025-12-10,Supplier Questionnaire
S0705,70.49,45.38,83.33,2025-04-28,Internal Assessment
S0706,55.14,,75.29,2024-08-18,Supplier Questionnaire
S0707,78.5,60.87,72.92,2025-09-26,Internal Assessment
S0708,67.17,66.49,81.71,2024-12-01,Third-party Rating
S0709,69.27,56.26,65.02,2024-11-03,Supplier Questionnaire
S0710,,65.73,46.79,2024-05-20,Third-party Rating
S0711,78.52,79.16,52.57,2025-02-02,Internal Assessment
S0712,67.39,73.41,75.13,2025-03-01,Third-party Rating
S0713,61.05,56.03,79.35,2024-01-13,Third-party Rating
S0714,68.97,63.15,61.66,2025-08-21,Third-party Rating
S0715,54.43,46.0,55.04,2024-01-20,Third-party Rating
S0716,81.62,75.96,82.59,2025-02-27,Supplier Questionnaire
S0717,76.43,,59.78,2024-04-02,Supplier Questionnaire
S0718,,63.6,,2025-09-18,Third-party Rating
S0719,64.07,,66.91,2025-03-27,Internal Assessment
S0720,79.84,,72.81,2025-09-01,Supplier Questionnaire
S0721,58.39,68.08,53.45,2025-11-30,Supplier Questionnaire
S0722,83.54,69.95,69.85,2024-05-01,Third-party Rating
S0723,60.55,71.64,65.69,2025-10-29,Supplier Questionnaire
S0724,50.05,56.47,59.64,2025-07-08,Third-party Rating
S0725,75.81,63.02,73.56,2024-06-19,Internal Assessment
S0726,62.42,73.66,65.05,2025-03-09,Third-party Rating
S0727,54.95,71.92,,2025-12-19,Supplier Questionnaire
S0728,63.06,58.63,68.61,2024-09-15,Supplier Questionnaire
S0729,59.16,,,2025-10-15,Internal Assessment
S0730,79.79,75.52,70.32,2025-10-24,Supplier Questionnaire
S0731,79.58,70.17,55.32,2024-05-17,Supplier Questionnaire
S0732,79.58,58.12,69.51,2024-04-15,Internal Assessment
S0733,58.22,,57.24,2024-04-05,Supplier Questionnaire
S0734,78.44,57.28,82.87,2024-03-12,Supplier Questionnaire
S0735,71.12,84.89,81.47,2025-05-09,Supplier Questionnaire
S0736,87.75,75.41,79.2,2024-07-13,Supplier Questionnaire
S0737,65.47,55.39,68.51,2025-08-30,Supplier Questionnaire
S0738,85.45,85.09,87.8,2025-12-16,Internal Assessment
S0739,82.42,63.35,79.95,2025-10-26,Internal Assessment
S0740,66.97,84.28,56.7,2024-11-10,Third-party Rating
S0741,50.79,57.83,75.33,2024-07-03,Third-party Rating
S0742,,57.47,57.86,2025-10-27,Third-party Rating
S0743,82.93,75.07,79.86,2024-01-21,Supplier Questionnaire
S0744,,82.4,,2024-04-16,Third-party Rating
S0745,63.62,68.86,52.37,2025-03-11,Supplier Questionnaire
S0746,93.19,69.07,76.91,2025-08-21,Supplier Questionnaire
S0747,74.52,47.25,80.07,2024-04-09,Third-party Rating
S0748,58.14,49.92,,2024-03-14,Internal Assessment
S0749,83.09,59.99,63.26,2024-09-06,Supplier Questionnaire
S0750,66.78,65.34,72.94,2024-10-30,Third-party Rating
S0751,59.34,72.98,63.89,2025-11-08,Internal Assessment
S0752,65.15,85.74,77.9,2024-11-21,Third-party Rating
S0753,68.22,,46.86,2025-04-10,Supplier Questionnaire
S0754,62.2,66.64,68.5,2025-01-25,Third-party Rating
S0755,74.92,72.9,75.5,2025-08-04,Supplier Questionnaire
S0756,81.91,76.12,74.06,2024-10-26,Third-party Rating
S0757,91.35,86.74,66.17,2024-03-09,Third-party Rating
S0758,63.46,53.2,62.97,2025-06-21,Supplier Questionnaire
S0759,76.68,47.76,89.98,2024-04-15,Supplier Questionnaire
S0760,,56.95,96.47,2025-01-13,Supplier Questionnaire
S0761,60.83,,53.92,2025-06-18,Supplier Questionnaire
S0762,87.26,74.06,67.85,2025-03-05,Third-party Rating
S0763,59.33,53.2,78.86,2024-10-30,Third-party Rating
S0764,70.25,69.2,65.44,2025-05-03,Supplier Questionnaire
S0765,68.21,36.03,76.71,2024-09-18,Supplier Questionnaire
S0766,47.8,55.91,64.6,2024-12-20,Supplier Questionnaire
S0767,,72.54,75.97,2025-06-08,Third-party Rating
S0768,80.89,60.2,91.74,2024-05-20,Supplier Questionnaire
S0769,56.83,68.25,67.76,2025-11-26,Third-party Rating
S0770,70.27,88.59,66.01,2025-01-31,Third-party Rating
S0771,56.85,40.71,57.21,2024-11-22,Third-party Rating
S0772,57.98,53.7,73.19,2024-04-30,Supplier Questionnaire
S0773,76.18,59.11,58.22,2025-01-12,Third-party Rating
S0774,79.65,40.18,66.62,2025-03-03,Supplier Questionnaire
S0775,74.8,55.34,74.41,2025-07-21,Supplier Questionnaire
S0776,65.37,83.39,90.08,2025-10-13,Supplier Questionnaire
S0777,60.69,52.08,77.24,2025-05-14,Supplier Questionnaire
S0778,68.01,62.91,69.31,2024-07-24,Third-party Rating
S0779,51.56,56.21,68.26,2024-09-04,Third-party Rating
S0780,77.43,67.47,74.44,2024-04-26,Third-party Rating
S0781,77.1,83.27,74.14,2024-08-13,Supplier Questionnaire
S0782,62.31,80.42,58.37,2025-08-14,Internal Assessment
S0783,80.77,69.46,90.66,2024-12-19,Third-party Rating
S0784,61.16,63.88,63.93,2024-05-26,Supplier Questionnaire
S0785,76.1,68.28,67.73,2024-02-06,Internal Assessment
S0786,74.62,72.52,65.4,2025-02-24,Third-party Rating
S0787,,,71.06,2024-01-10,Supplier Questionnaire
S0788,77.18,43.6,94.01,2024-12-30,Third-party Rating
S0789,69.11,53.14,76.33,2024-12-20,Supplier Questionnaire
S0790,75.19,75.88,69.34,2024-05-05,Supplier Questionnaire
S0791,77.91,82.49,,2025-04-02,Supplier Questionnaire
S0792,,77.22,67.38,2025-08-20,Supplier Questionnaire
S0793,67.02,69.98,74.44,2024-04-06,Supplier Questionnaire
S0794,58.15,82.99,76.25,2024-03-06,Internal Assessment
S0795,74.04,55.92,61.88,2025-09-30,Third-party Rating
S0796,65.93,70.7,65.05,2024-03-14,Supplier Questionnaire
S0797,52.03,80.37,,2025-04-11,Internal Assessment
S0798,79.22,77.37,60.3,2025-09-29,Third-party Rating
S0799,,70.99,64.35,2025-05-26,Supplier Questionnaire
S0800,72.47,66.15,,2025-01-04,Supplier Questionnaire
S0801,,59.23,43.12,2025-09-11,Supplier Questionnaire
S0802,82.83,31.7,68.64,2024-12-23,Supplier Questionnaire
S0803,59.79,56.5,44.78,2024-12-25,Third-party Rating
S0804,57.22,44.94,71.77,2025-08-02,Third-party Rating
S0805,42.1,56.96,63.61,2025-11-23,Supplier Questionnaire
S0806,65.0,54.39,65.31,2024-12-02,Supplier Questionnaire
S0807,75.86,45.61,49.55,2024-11-22,Supplier Questionnaire
S0808,76.39,63.81,73.39,2024-07-07,Internal Assessment
S0809,58.37,39.85,51.35,2025-06-01,Third-party Rating
S0810,81.52,70.32,72.97,2025-07-20,Supplier Questionnaire
S0811,76.56,42.03,77.94,2024-02-08,Supplier Questionnaire
S0812,,54.74,67.73,2025-09-30,Supplier Questionnaire
S0813,78.2,52.51,67.65,2024-04-02,Supplier Questionnaire
S0814,65.2,,53.04,2024-02-29,Supplier Questionnaire
S0815,70.37,71.89,68.76,2024-07-15,Supplier Questionnaire
S0816,74.98,77.08,,2025-12-23,Supplier Questionnaire
S0817,75.69,50.76,69.29,2025-01-07,Supplier Questionnaire
S0818,,55.27,65.82,2024-07-26,Third-party Rating
S0819,84.51,61.16,60.74,2024-01-14,Supplier Questionnaire
S0820,72.76,61.62,57.06,2025-11-12,Supplier Questionnaire
S0821,77.66,68.37,47.4,2024-03-20,Internal Assessment
S0822,56.71,63.55,62.54,2024-05-02,Supplier Questionnaire
S0823,40.75,,72.78,2025-02-27,Third-party Rating
S0824,66.49,55.36,62.51,2024-02-15,Third-party Rating
S0825,83.71,82.39,77.18,2024-04-22,Supplier Questionnaire
S0826,70.58,55.44,65.54,2024-09-28,Third-party Rating
S0827,,47.78,74.72,2024-02-10,Third-party Rating
S0828,72.64,60.59,63.36,2025-09-02,Third-party Rating
S0829,98.0,84.32,,2024-05-24,Third-party Rating
S0830,72.33,72.42,47.85,2024-06-02,Third-party Rating
S0831,53.19,67.61,,2025-07-25,Supplier Questionnaire
S0832,88.74,73.06,,2024-04-23,Supplier Questionnaire
S0833,82.32,66.31,70.05,2025-11-02,Supplier Questionnaire
S0834,83.1,54.68,70.29,2025-11-22,Supplier Questionnaire
S0835,66.78,56.37,70.87,2024-12-28,Third-party Rating
S0836,71.76,65.95,65.3,2024-09-13,Third-party Rating
S0837,75.71,68.25,58.47,2024-09-29,Supplier Questionnaire
S0838,55.82,66.57,65.0,2025-05-31,Internal Assessment
S0839,61.03,48.16,69.41,2024-03-29,Supplier Questionnaire
S0840,61.76,83.98,50.25,2025-10-27,Supplier Questionnaire
S0841,61.28,74.54,80.56,2025-04-15,Third-party Rating
S0842,64.24,76.69,68.29,2025-10-14,Supplier Questionnaire
S0843,85.64,68.66,77.29,2024-05-01,Third-party Rating
S0844,83.14,72.83,77.94,2024-03-03,Third-party Rating
S0845,60.09,69.28,79.87,2025-03-28,Supplier Questionnaire
S0846,44.09,73.63,67.24,2024-06-06,Supplier Questionnaire
S0847,69.03,79.76,80.84,2024-09-12,Supplier Questionnaire
S0848,49.0,85.47,74.79,2025-04-21,Internal Assessment
S0849,49.6,36.98,50.53,2025-08-26,Internal Assessment
S0850,71.35,83.35,67.29,2025-06-04,Third-party Rating
S0851,73.27,49.33,71.24,2025-12-06,Third-party Rating
S0852,83.6,57.39,68.63,2024-10-11,Third-party Rating
S0853,67.77,68.71,66.1,2025-06-12,Internal Assessment
S0854,66.64,,63.8,2024-11-19,Third-party Rating
S0855,82.29,64.03,,2024-10-01,Third-party Rating
S0856,48.14,70.27,51.8,2025-08-13,Supplier Questionnaire
S0857,72.9,38.35,59.22,2024-07-21,Supplier Questionnaire
S0858,77.87,66.74,,2025-02-25,Third-party Rating
S0859,66.79,65.83,71.73,2025-02-02,Internal Assessment
S0860,,57.97,68.98,2024-05-21,Supplier Questionnaire
S0861,68.85,72.8,67.08,2024-01-28,Supplier Questionnaire
S0862,74.51,74.75,92.04,2025-01-06,Third-party Rating
S0863,80.08,57.82,,2024-12-02,Supplier Questionnaire
S0864,65.47,56.23,59.53,2025-04-16,Supplier Questionnaire
S0865,83.48,76.85,63.39,2024-07-18,Third-party Rating
S0866,73.58,71.69,80.56,2025-06-02,Internal Assessment
S0867,58.09,53.15,,2025-11-03,Third-party Rating
S0868,66.88,68.51,77.45,2024-11-30,Supplier Questionnaire
S0869,68.55,69.78,59.48,2024-06-24,Internal Assessment
S0870,65.65,41.34,54.92,2025-02-28,Internal Assessment
S0871,58.68,59.72,83.59,2025-04-29,Supplier Questionnaire
S0872,67.15,71.1,58.3,2025-10-27,Supplier Questionnaire
S0873,70.31,61.46,62.44,2024-01-21,Supplier Questionnaire
S0874,86.94,55.91,51.48,2025-04-03,Third-party Rating
S0875,88.24,72.6,75.49,2024-03-05,Supplier Questionnaire
S0876,56.08,89.1,65.32,2025-05-21,Supplier Questionnaire
S0877,48.26,64.74,82.1,2025-05-14,Supplier Questionnaire
S0878,70.13,65.34,75.57,2025-09-29,Supplier Questionnaire
S0879,54.83,47.54,62.38,2024-02-04,Supplier Questionnaire
S0880,63.19,,60.49,2024-10-16,Third-party Rating
